	stddev	stddev_1M	VaR95_daily	current_ratio	quick_ratio	debt_ratio	gearing	leverage	net_leverage
GMEG.DE	0,0183170	0,0104533	0,0391127	4,6081548	5,8451717	0,0885473	0,1189944	0,7700411	
WING.DE	0,0193955	0,0050841	0,0366530	1,0765396	1,4171385	0,0813131	0,3318008	0,6592820	0,3097690
DBKGn.DE	0,0341444	0,0332614	0,0453050			0,1548176	3,7446625		
NAFG.DE	0,0234714	0,0138923	0,0397183	2,3417575	3,8176238	0,1713706	0,3525906	2,0486293	0,3037210
UMS.F	0,0477271	0,0186430	0,0492427	2095,8903567		0,0000000	0,0000000	-0,0000000	
KCOGn.DE	0,0219350	0,0195093	0,0523610	2,0585329	3,1021643	0,1918877	0,4934827	12,4764869	12,4956434
BEZ.DE	0,0215269	0,0112049	0,0383329	1,6358874	2,0763070	0,2755716	1,1385121	3,7007348	-0,4267795
ATFG.DE	0,2959785	0,0000000	0,1522259	1,1784688	1,5821793	0,1305020	0,2742528	3,9088191	
LXSG.DE	0,0208769	0,0210736	0,0406229	1,5505102	2,2387755	0,2356282	0,7363636	1,6387283	1,4540364
K1RG.DE	0,0168134	0,0076498	0,0431718	2,1010625	3,1956465	0,2085720	0,4110008	4,6490639	2,6404225
KRNG.DE	0,0175710	0,0190300	0,0355865	1,5252303	2,0751687	0,0254619	0,0620232	0,4566695	-1,6374992
VIBG_p.DE	0,0191806	0,0187376	0,0378378	1,8518330	2,6221996	0,0794848	0,3062954	0,7463127	0,6904499
FIEG.DE	0,0120474	0,0060194	0,0251628	2,7189538	3,4083646	0,0018572	0,0024792	0,0059289	-0,8914258
SIXG.DE	0,0193104	0,0085181	0,0402503	1,4871894	1,5428231	0,4997371	1,9150368	3,1883945	2,8397130
G7BG.F	0,1476132	0,2743552	0,1921395	0,4175927	0,8212800	0,7190074	4,0081158	-290,0089699	
SFXG.F	0,1571337	0,1834433	0,1343129	6,1661161	7,9218971	0,0556201	0,0679240	-0,2323633	
GWIG.DE	0,0301092	0,0239008	0,0372767	2,5049835	3,5683276	0,2671401	0,5187527	2,1794833	1,1461576
ESYG.DE	0,0243499	0,0194547	0,0518780	1,1019438	1,1463131	0,1359654	0,2206623	1,0111340	
HOC.DE	0,0244470	0,0196399	0,0409850	1,8755221		0,0687123	0,0900978	2,3786742	-8,8212320
OBCGn.DE	0,0247472	0,0151338	0,0432868	1,5478178		0,0000000	0,0000000	0,0000000	-1,2419192
RTVGn.F	0,0262555	0,0031489	0,0689427	0,1607191		0,2460662	0,4142786	-5,7184974	
TGTG.DE	0,0280242	0,0266039	0,0412015	3,2866040		0,0000000	0,0000000	0,0000000	-1,0803803
DICn.DE	0,0150358	0,0102326	0,0507351	1,5367034		0,5439578	1,6974258	3,8463696	4,1375918
RWEG_p.DE	0,0290101	0,0200293	0,0346154	1,1096915	1,1876617	0,2176368	2,9529673	3,1593779	
SYZG.DE	0,0141981	0,0168893	0,0312769	1,9770784		0,0000000	0,0000000	0,0000000	-4,8256476
AOXG.DE	0,0124609	0,0074923	0,0436070	1,2296045		0,5432927	1,2918499	37,7813657	27,3341785
XMYn.DE	0,0496873	0,0473668	0,0649977	1,0885903	1,0979845	0,1118895	0,4941100	1,5057199	-1,3412229
ELBG.DE	0,0309103	0,0163641	0,0574794	4,9577453	8,3949158	0,1911678	0,2851323	-2,9445793	4,7228964
WUGG.DE	0,0115080	0,0049549	0,0356967	2,9525883	4,2389565	0,0008185	0,0012109	0,0067469	
