InvetmentName	VaR_95(%)	StdDev	Risk_of_Loss (%)	Beta	Sharpe
1COV.DE	-139,4500000	0,7827350	48,0900000	0,0333322	0,0320496
ACWNn.DE	-106,7600000	0,6264157	26,1800000	-0,0005732	0,0148908
AFXG.DE	-95,5800000	0,5708612	50,0000000	0,0201641	0,0266593
CE2G.DE	-19,5800000	0,1209606	46,1800000	0,0034668	0,0273588
CURG.DE	-5,4000000	0,0334916	40,9100000	0,0003181	0,0607241
DAIGn.DE	-191,5100000	1,2011973	53,8200000	0,0705009	0,0201312
DAMG.DE	-91,1700000	0,5041921	33,8900000	-0,0020405	0,0459075
FAM1.F	-4,7200000	0,0286474	11,0700000	-0,0001206	0,0289719
ERMGk.DE	-15,9400000	0,0988231	48,2600000	0,0020748	0,0345503
333.DE	-29,8400000	0,1820375	31,8200000	0,0037564	-0,0219530
DEXGn.DE	-73,8700000	0,4626174	49,2400000	0,0000658	0,0269002
DMRE.DE	-12,4300000	0,0767444	51,7500000	0,0010154	0,0262764
DBKGn.DE	-74,3600000	0,4731708	55,3400000	0,0244734	0,0245596
DBANn.DE	-80,1200000	0,4782711	50,3800000	0,0179757	0,0234345
DB11.DE	-203,8000000	1,2320771	55,0000000	0,0754743	-0,0958802
DEQGn.DE	-76,2100000	0,4748584	52,2900000	0,0178898	0,0241021
PBBG.DE	-33,3000000	0,2038574	56,4900000	0,0081181	0,0258010
DPWGn.DE	-64,4300000	0,3868961	43,8900000	0,0210573	0,0287887
DTEGn.DE	-37,5700000	0,2345718	56,1100000	0,0131659	0,0266956
DWNG.DE	-71,7700000	0,4300696	48,0900000	0,0155601	0,0261542
DREGa.F	-18,7600000	0,1143704	7,6300000	0,0005662	0,0303079
DEZG.DE	-17,4700000	0,1017351	46,1800000	0,0040759	0,0285272
DFTKn.DE	-52,6600000	0,3368074	27,7500000	0,0022149	0,0233524
DICn.DE	-20,7100000	0,1271251	50,0000000	0,0053091	0,0268924
WING.DE	-147,0400000	0,8483954	49,6200000	0,0115514	0,0335191
DIEG.F	-33,7700000	0,2037992	2,6900000	-0,0003475	0,0327030
GILG.DE	-68,1300000	0,4050084	43,8900000	0,0132387	0,0341820
HNLG.DE	-76,4700000	0,4625485	47,8900000	0,0131330	0,0365523
DRWG_p.DE	-221,0100000	1,3358993	50,7600000	0,0441219	0,0243931
DRWG.DE	-164,3100000	1,0015916	52,1100000	0,0271125	0,0235006
DRIG.DE	-126,4300000	0,7862715	53,4400000	0,0275542	0,0237196
DKAG.F	-131,3300000	0,7746339	15,2700000	0,0053895	0,0561615
DUEG.DE	-247,1100000	1,5131488	52,2900000	0,0841087	0,0181456
DVBG.F	-39,9800000	0,2502909	10,3400000	0,0002197	0,0270388
EONGn.DE	-30,1000000	0,1872251	53,8200000	0,0087758	0,0268377
ESYG.DE	-22,2900000	0,1265821	18,3800000	0,0009741	-0,0013408
EUZG.DE	-46,5300000	0,2748605	50,0000000	0,0060922	0,0274751
E4CG.DE	-32,6000000	0,1932720	42,0400000	0,0020372	0,0192453
EING_p.DE	-94,2600000	0,5425210	41,7700000	0,0046178	0,0339036
EISG.F	-59,1000000	0,3595743	9,5400000	0,0012653	0,0414433
ELNk.F	-23,6500000	0,1385077	24,1400000	0,0001137	0,0348782
ELGG.DE	-43,6300000	0,2642852	44,6600000	0,0099560	0,0289119
ZILGn.DE	-73,1600000	0,4643214	61,8300000	0,0217509	0,0211108
ELBG.DE	-63,1300000	0,3954032	43,5800000	0,0004858	0,0877005
EMQG.DE	-2,5600000	0,0155134	19,6700000	0,0000209	0,0012111
EBKG.DE	-65,7600000	0,4098522	41,0400000	0,0039125	0,0117114
EKTG.F	-42,3400000	0,2488011	21,0700000	0,0016283	0,0427444
EXJ.F	-3,1900000	0,0194721	0,7600000	-0,0000638	0,0282223
ECXn.F	-35,9400000	0,2119479	45,9500000	0,0033104	0,0299205
EUCAn.DE	-29,7000000	0,1870799	51,7200000	0,0021357	0,0289099
EVDG.DE	-84,8000000	0,5361393	54,2000000	0,0236917	0,0228382
EVKn.DE	-80,8500000	0,5086680	55,7300000	0,0255635	0,0239755
EVTG.DE	-14,0400000	0,0807770	51,1500000	0,0035726	0,0279715
BTCGk.F	-28,0500000	0,1609129	44,6600000	0,0023601	0,0309614
FVIG.DE	-22,3200000	0,1345859	41,5800000	-0,0009507	0,0451608
HBD1.F	-14,9600000	0,0890181	6,1100000	-0,0002917	0,0296490
FIEG.DE	-138,9800000	0,8602475	50,7600000	0,0266620	0,0211721
SISG.DE	-41,4800000	0,2470724	47,1000000	0,0062519	0,0298588
FRSG.DE	-15,4800000	0,1006050	24,8100000	0,0007424	0,0081115
FEVG.DE	-31,3600000	0,1807334	33,3300000	0,0016298	0,0312504
FPHG.DE	-10,6300000	0,0636722	30,2700000	0,0011729	0,0318801
FRAG.DE	-127,7200000	0,7847153	47,3300000	0,0290194	0,0286300
FNTGn.DE	-63,6500000	0,4053742	56,4900000	0,0180019	0,0223957
FREG.DE	-179,5100000	1,0941524	51,9100000	0,0616523	0,0269814
FMEG.DE	-199,7900000	1,2288343	50,0000000	0,0629413	0,0228868
FNGG.F	-30,5600000	0,1869498	32,0600000	0,0016143	0,0305814
CEAG.DE	-73,6600000	0,4189177	15,6200000	0,0042757	-0,0270611
FROG_p.F	-1,9000000	0,0115445	0,3800000	0,0000308	0,0280972
FROG.F	-2,4400000	0,0150106	0,7700000	0,0000077	0,0296144
FPEG_p.DE	-92,6400000	0,5811074	53,4400000	0,0345308	0,0204745
FPEG.DE	-83,9500000	0,5187385	60,6900000	0,0280508	0,0157441
G1AG.DE	-148,3000000	0,9097655	53,0500000	0,0292974	0,0286674
WWGG.F	-3126,4900000	18,6662223	6,5100000	0,1247575	0,4916559
GMEG.DE	-35,9700000	0,2147419	43,1500000	0,0006732	0,0206275
GXIG.DE	-176,0000000	1,0864613	51,1500000	0,0503432	0,0260726
GWIG.DE	-53,5500000	0,3369110	60,3100000	0,0122284	0,0249465
GSC1n.DE	-117,1800000	0,7225196	48,8500000	0,0109201	0,0280550
GFKG.DE	-118,7900000	0,7342444	54,9600000	0,0141955	0,0269398
GFTG.DE	-101,0800000	0,6385768	58,0200000	0,0276505	0,0220456
GGS.DE	-5,6400000	0,0342593	40,7100000	0,0005315	0,0437794
GKSG.DE	-176,5200000	1,0049729	31,4500000	0,0023312	0,0410900
GMMG.DE	-165,5700000	0,9625254	42,7500000	0,0391310	0,0360560
GLJn.DE	-480,0500000	2,9980275	54,2000000	0,1001555	-0,0056928
GIBG.F	-457,3400000	2,7329949	4,2100000	-0,0049165	0,1303119
G7BG.F	-0,4900000	0,0030026	1,9100000	0,0000026	0,0280603
2HR.DE	-50,3100000	0,2926696	47,7100000	0,0093461	0,0309792
HABG.DE	-18,2600000	0,1144364	58,4000000	0,0046756	0,0249064
HNRGn.DE	-249,3600000	1,5392261	48,8500000	0,0841785	0,0228955
H9YG.F	-21,0700000	0,1242993	7,6300000	0,0007802	0,0314724
HLAG.DE	-70,4300000	0,4331026	55,7300000	0,0077312	0,0250948
HAWG.DE	-95,9400000	0,5712681	35,8600000	0,0026506	0,0263644
IPOG.F	-22,0200000	0,1321740	1,2700000	0,0015822	0,0483387
HEIG.DE	-220,8100000	1,3202067	49,2400000	0,0826750	0,0341565
HDDG.DE	-8,2400000	0,0499620	55,3400000	0,0022267	0,0274991
H2Fn.DE	-15,9500000	0,1071048	45,3100000	0,0009976	0,0217443
HLE.DE	-119,0600000	0,7333667	55,3400000	0,0399585	0,0229554
HNKG.DE	-197,8300000	1,1972936	52,2900000	0,0541235	0,0211576
HNKG_p.DE	-230,2400000	1,3980221	50,7600000	0,0752531	0,0252275
RTMLk.F	-208,9500000	1,3287131	3,4600000	-0,0012316	0,0315931
HHFGn.DE	-41,0000000	0,2429439	47,3300000	0,0084991	0,0274776
HOTG.DE	-320,3800000	1,8346068	43,5100000	0,0780070	0,0598931
HOC.DE	-10,3300000	0,0650975	40,4700000	0,0014278	0,0266771
HBMG.DE	-66,1000000	0,4146622	60,3100000	0,0069459	0,0222407
HBH.DE	-194,7400000	1,2036445	50,7600000	0,0282930	0,0221457
BOSSn.DE	-253,8400000	1,6236311	55,3400000	0,0548476	0,0085345
HYQGn.DE	-389,4900000	2,3863617	52,6700000	0,0811839	0,0240490
IFAG.F	-27,9400000	0,1631306	12,9800000	0,0013378	0,0353084
FAOGn.DE	-80,4500000	0,4789530	37,7900000	0,0036151	0,0557385
INHG.DE	-112,6200000	0,6671674	48,8500000	0,0310513	0,0283045
IFS1.F	-5,5200000	0,0335326	4,2300000	0,0000041	0,0313893
IFXGn.DE	-46,7700000	0,2759855	43,5100000	0,0133661	0,0300602
IXXG.DE	-55,8100000	0,3483592	61,8300000	0,0055935	0,0207124
IGY.DE	-86,9600000	0,5991520	60,0000000	0,0268687	0,0399072
ISHG.DE	-6,5100000	0,0402000	45,0400000	0,0003327	0,0280994
ITMG.DE	-8,1000000	0,0530070	28,9200000	-0,0006114	0,0340556
IS7G.DE	-18,9200000	0,1148397	21,0500000	-0,0006844	0,0042787
IVXG.DE	-152,8600000	0,9503814	32,1600000	0,0176229	0,0250971
ISRG.DE	-308,7700000	1,7841046	51,9100000	0,0516875	0,0236087
I7NG.DE	-10,2800000	0,0642020	36,6300000	0,0009836	0,0803165
IVUG.DE	-13,3600000	0,0850534	49,6200000	0,0018138	0,0329646
JENG.DE	-42,8400000	0,2570066	50,7600000	0,0127646	0,0281912
