InvestmentName,VaR_95(%),StdDev,Risk_of_Loss (%),Beta,Sharpe,stddev,stddev_1M,VaR95_daily,current_ratio,quick_ratio,debt_ratio,gearing,leverage,net_leverage
BASFn.DE,"-173,17","1,0447853","48,85","0,0663042","0,0319772","0,0158787","0,0119154","0,0311751","1,7256252","2,4065046","0,2241092","0,5134882","1,4152625","1,1526529"
BSLG.DE,"-176,43","1,0206271","48,46","0,0140271","0,0329936","0,0179014","0,0128074","0,0466313","3,4994363","4,6025418","0,2852838","0,4841823","1,5931672","0,7794289"
BST1.DE,"-20,77","0,1315255","51,56","0,0019887","0,0232752","0,0192194","0,0227183","0,0255873","0,7868269","1,1416386","0,2929083","0,7032304","1,91021","1,1318553"
B5AG.DE,"-47,2","0,3076324","67,18","0,0081253","0,0161779","0,0234299","0,0178397","0,0478068","1,5461049","2,2079581","0,4299539","1,6233496","7,9007408","7,1008192"
BAYGn.DE,"-263,82","1,6951695","49,62","0,0918577","0,0181627","0,0171696","0,0118211","0,0299217","1,4028857","1,9064193","0,2593314","0,7899856","1,8263148","1,804919"
BYWGnx.DE,"-75,19","0,4560747","51,91","0,0127238","0,0244586","0,0165547","0,0132898","0,0316347","1,3504252","2,1280752","0,4501927","3,3564772","8,7797833","6,6958748"
BYWG.DE,"-106,05","0,6504883","41,67","0,003244","0,0642237","0,0202012","0,0111661","0,0454341","1,3504252","2,1280752","0,4501927","3,3564772","8,7797833",
BKTG_p.F,"-3,47","0,0213765","1,91","-0,0001805","0,028199","0,1923683","0,0592725","0,3195286",,,,,,
USEG.DE,"-2,12","0,0129592","40,71","0,0001342","0,0269365","0,0579179","0,040244","0,0608236","1,3034536","1,9306506","0,3820133","3,3523168","-5,274376",
BC8G.DE,"-210,15","1,2798965","56,49","0,0567576","0,0159906","0,014594","0,0097134","0,0374644","1,9631165","2,3294552","0,0573869","0,1063722","0,4236423","-0,3235177"
BEIG.DE,"-177,82","1,1092085","51,53","0,0511819","0,0238481","0,0132807","0,0105748","0,0234165","2,1744548","2,5752856","0,0139677","0,0229226","0,0882353","-1,9456016"
BEZ.DE,"-24,05","0,1456612","49,21","0,0016138","0,0349122","0,0215269","0,0112049","0,0383329","1,6358874","2,076307","0,2755716","1,1385121","3,7007348","-0,4267795"
MBHG_p.F,"-583,58","3,3830255","28,24","0,0817667","0,1847876","0,0134286","0,0081959","0,0353058","3,0531668","3,7753883",0,0,0,
BDTG.DE,"-289,49","1,7787638","59,16","0,0741222","0,003182","0,019199","0,0114876","0,0399262","1,660829","1,663548","0,070411","0,1240285","0,342113","-0,1575603"
ARTG.DE,"-245,2","1,4073231","50,38","0,0421912","0,030752","0,0240285","0,020653","0,0536027","3,7271554",,0,0,0,"-2,1333083"
BHSG.F,"-59,24","0,3546239","6,49","0,0017619","0,0402344","0,0277356","0,0272048","0,0428304","3,2069871","4,8053586","0,0153933","0,0470476","0,1367163",
BIJG.DE,"-118,86","0,7353483","47,71","0,0152291","0,0263707","0,0139394","0,0096294","0,0307505","7,0471566","8,9766383",0,0,0,
GBFG.DE,"-127,46","0,792806","47,33","0,0299732","0,0265701","0,0241305","0,0163742","0,0410007","1,0323461","1,0876851","0,1053241","0,3747426","2,0580475","2,1017377"
B8FGn.DE,"-14,45","0,0846707",50,"0,0014591","0,0275302","0,0314517","0,0192501","0,068561","2,3474567","2,8458918","1,2737531","-2,515564","-1,2844054",
BIOG.DE,"-62,07","0,3746099","44,06","0,009601","0,0309739","0,0242396","0,0126399","0,0391282","4,6645469","6,4030207","0,3579516","0,8360019","14,9826087",
BIOG_p.DE,"-53,96","0,3297048","55,34","0,0106298","0,0232224","0,0244535","0,0101136","0,0391649","4,6645469","6,4030207","0,3579516","0,8360019","14,9826087","7,4844783"
BTBA.DE,"-4,78","0,0290967","35,74","0,0002985","0,0329729","0,0384114","0,0326561","0,0512305","2,5697039","2,7544796","0,0955724","0,1473863","-1,4248264","-2,5228924"
BMWG_p.DE,"-203,45","1,2529405","58,4","0,0679965","0,0095319","0,020031","0,0102227","0,0340093","0,9426751","1,1114635","0,5060752","2,0487421","4,9297313",
BMWG.DE,"-249,04","1,55357","51,15","0,0926937","0,0167855","0,0208017","0,0115104","0,0348236","0,9426751","1,1114635","0,5060752","2,0487421","4,9297313","0,0335535"
BSYG.F,"-0,53","0,0029924","6,25","-0,0000014","0,0245859","0,14811","0,2419055","0,1600099",,,,,,
BNNn.DE,"-72,5","0,4210728","44,33","0,0050039","-0,0997967","0,0255644","0,0369669","0,0420498","1,9503036",,0,0,0,
BNRGn.DE,"-128,96","0,7889202",50,"0,0356798","0,0272217","0,017147","0,0110021","0,0256601","1,7820461","2,297947","0,3226542","0,8505517","2,801369","2,1159237"
DTDGk.DE,"-15,87","0,0924295","22,35","0,0007183","0,0736693","0,0276239","0,0238554","0,0573484","0,5220038",,"0,322585","0,6826841","5,7624",
BVB.DE,"-12,14","0,0720113","45,04","0,0018116","0,0280809","0,0161693","0,0117279","0,0388196","1,5452158","1,6741064","0,0509487","0,0698774","0,2495731","-0,4326857"
COKG.DE,"-139,81","0,8433504","54,96","0,0321793","0,0263398","0,0200569","0,0166707","0,0444685","1,7381464","1,9132669","0,1315729","0,2889136","0,8837574","-0,6291148"
HWAG.DE,"-23,79","0,1509894","52,67","0,0044032","0,0254205","0,0228496","0,015275","0,0516791","1,5831771","1,5966075","0,6983232","3,6273164","9,0782154","7,9476686"
CSHG.DE,"-66,03","0,4045764","58,4","0,0162628","0,0227648","0,0218172","0,0109895","0,0449454","2,5395047","2,5427055",0,0,0,"-0,8483667"
CEVG.DE,"-31,48","0,1876332","46,18","0,0043277","0,0292554","0,0143114","0,0079332","0,0435496","2,043819","2,6658664","0,2005361","0,4027361","1,7316985","0,9785647"
CWCG.DE,"-219,96","1,276383","47,71","0,0435312","0,0379557","0,0179301","0,0203845","0,0336661","1,2297668","1,5894933","0,0187686","0,0355778","0,0814737","-0,1405912"
CSGG.F,"-6,88","0,0425708","9,16","0,00001","0,0290376","0,2537804","0,0932846","0,170957","6,8674855","6,969774","0,2444867","0,3541697","1,2140819",
CU1G.DE,"-28,38","0,1683354","44,66","0,0022018","0,0289019","0,0202084","0,0137323","0,0351903","2,5951737",,"0,5580692","1,4760034","7,4399046","7,0479713"
CAGGk.DE,"-66,75","0,4192134","56,54","0,0047721","0,0324448","0,0124565","0,0075892","0,0801482","3,0115959","3,0115959",0,0,0,"629,5202952"
CNWKk.DE,"-16,07","0,0963418","52,94","0,0003974","0,0248934","0,0351389","0,0185162","0,0810012","5,9711182","6,0999267",0,0,0,"2,3567372"
CDBG.DE,"-23,66","0,1465375","51,91","0,0036784","0,0272251","0,0147727","0,0146742","0,0306427",,,0,0,,
CBKG.DE,"-30,77","0,1960002","55,73","0,0086313","0,025899","0,0302602","0,0198975","0,0528655",,,"0,0890151","1,6195225",,
COPMa.DE,"-118,85","0,707622","50,76","0,0282359","0,0281208","0,0193355","0,0099018","0,0443153","0,8496215","0,8831907","0,4777005","1,9667327","3,3826621","2,9268358"
EV4G.DE,"-7,68","0,04659","40,84","0,0008162","0,0281705","0,0187892","0,0235831","0,0389016","0,7851413","0,7977353","0,3849083","10,0221247","1,915492","0,8930161"
CONG.DE,"-540,6","3,3974474","49,62","0,1985723","0,0112478","0,0189522","0,0108557","0,0454413","1,0882834","1,3659593","0,1622259","0,4166021","0,8559996","0,6401009"
