InvestmentName	VaR_95(%)	StdDev	Risk_of_Loss (%)	Beta	Sharpe	stddev	stddev_1M	VaR95_daily	current_ratio	quick_ratio	debt_ratio	gearing	leverage	net_leverage	stddev	stddev_1M	VaR95_daily	current_ratio	quick_ratio	debt_ratio	gearing	leverage	net_leverage
ALVG.DE	-396,3600000	2,4378695	51,9100000	0,1346894	0,0159795	0,0184370	0,0123107	0,0355341			0,0378506	0,5088845			0,0184370	0,0123107	0,0355341			0,0378506	0,5088845		
ANOG.DE	-2,8100000	0,0173706	44,0200000	0,0002265	0,0410926	0,0302869	0,0256641	0,0635710	0,7629576	0,9629188	0,4802830	-4,5497437	-14,1581996	-13,8234099	0,0302869	0,0256641	0,0635710	0,7629576	0,9629188	0,4802830	-4,5497437	-14,1581996	-13,8234099
ATFG.DE	-1,2800000	0,0079683	25,1900000	0,0000472	0,1173147	0,2959785	0,0000000	0,1522259	1,1784688	1,5821793	0,1305020	0,2742528	3,9088191		0,2959785	0,0000000	0,1522259	1,1784688	1,5821793	0,1305020	0,2742528	3,9088191	
AOXG.DE	-23,8300000	0,1472187	53,8200000	0,0055725	0,0268835	0,0124609	0,0074923	0,0436070	1,2296045		0,5432927	1,2918499	37,7813657	27,3341785	0,0124609	0,0074923	0,0436070	1,2296045		0,5432927	1,2918499	37,7813657	27,3341785
AMDG.DE	-203,3800000	1,2390467	50,3800000	0,0526715	0,0144939	0,0194240	0,0121253	0,0393154	2,8251052		0,0000000	0,0000000	0,0000000	0,3936607	0,0194240	0,0121253	0,0393154	2,8251052		0,0000000	0,0000000	0,0000000	0,3936607
TXAG.F	-0,3600000	0,0022625	2,6700000	0,0000071	0,0280461	0,2334883	0,5048796	0,3029639	0,8513868	1,1190030	0,1341758	0,3608196	-0,2857143		0,2334883	0,5048796	0,3029639	0,8513868	1,1190030	0,1341758	0,3608196	-0,2857143	
AROG.DE	-0,3300000	0,0020622	19,1800000	0,0000085	0,0306333	0,1025357	0,1026653	0,1226608	0,6189812	0,7839648	0,2188047	4,4906605	6,8338959	3,7105050	0,1025357	0,1026653	0,1226608	0,6189812	0,7839648	0,2188047	4,4906605	6,8338959	3,7105050
AYDGn.DE	-16,3300000	0,0971612	26,9700000	-0,0004687	0,0064957	0,0360906	0,0323827	0,0652778	0,6770012		0,0981694	0,7337202	0,4124891		0,0360906	0,0323827	0,0652778	0,6770012		0,0981694	0,7337202	0,4124891	
5ABG.F	-3,3200000	0,0211471	13,1400000	0,0002989	0,0763441	0,0998938	0,0000000	0,0999488	0,9885792	1,0008816	0,1193064	0,4048339	-0,2041314		0,0998938	0,0000000	0,0999488	0,9885792	1,0008816	0,1193064	0,4048339	-0,2041314	
AOFG.DE	-253,5100000	1,5594764	50,5800000	0,0507958	0,0218578	0,0274854	0,0162761	0,0412226	2,9122484	2,9130780	0,0000000	0,0000000	0,0000000	1,9658639	0,0274854	0,0162761	0,0412226	2,9122484	2,9130780	0,0000000	0,0000000	0,0000000	1,9658639
NSUG.DE	-1223,7100000	7,5304479	49,4300000	0,2493396	-0,0942270	0,0124196	0,0088795	0,0233333	1,4289691	1,7220470	0,0598629	0,1599209	0,3715692		0,0124196	0,0088795	0,0233333	1,4289691	1,7220470	0,0598629	0,1599209	0,3715692	
